data_status,role_id,profile,experience_years_assumed,condition_order,episode,condition,w_cost_assumed,w_tail_assumed,w_stability_assumed,regret_normalized_scripted,decision_time_s_scripted,confidence_1_7_scripted,cites_tail_or_workforce_scripted,dial_moves_scripted,selected_theta_scripted,sus_0_100_scripted
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE05,stability-driven,9.3,AB,2,B_portfolio,0.25,0.25,0.5,0.1705,97,4,1,2,0.62,71
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE05,stability-driven,9.3,AB,3,A_nominal,0.25,0.25,0.5,0.352,99,5,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE05,stability-driven,9.3,AB,3,B_portfolio,0.25,0.25,0.5,0.2252,121,4,1,2,0.69,71
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE05,stability-driven,9.3,AB,4,A_nominal,0.25,0.25,0.5,0.4031,82,4,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE05,stability-driven,9.3,AB,4,B_portfolio,0.25,0.25,0.5,0.2653,146,5,0,4,0.5,71
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE06,worst-case,6.8,BA,1,A_nominal,0.05,0.85,0.1,0.501,66,7,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE06,worst-case,6.8,BA,1,B_portfolio,0.05,0.85,0.1,0.3364,123,4,1,3,0.95,63
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE06,worst-case,6.8,BA,2,A_nominal,0.05,0.85,0.1,0.4725,101,6,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE06,worst-case,6.8,BA,2,B_portfolio,0.05,0.85,0.1,0.2956,113,6,1,3,0.95,63
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE06,worst-case,6.8,BA,3,A_nominal,0.05,0.85,0.1,0.439,103,5,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE06,worst-case,6.8,BA,3,B_portfolio,0.05,0.85,0.1,0.1985,90,5,1,3,0.78,63
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE06,worst-case,6.8,BA,4,A_nominal,0.05,0.85,0.1,0.4828,106,3,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE06,worst-case,6.8,BA,4,B_portfolio,0.05,0.85,0.1,0.2775,134,6,1,1,0.92,63
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE07,cost-driven,3.4,AB,1,A_nominal,0.8,0.15,0.05,0.1349,65,6,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE07,cost-driven,3.4,AB,1,B_portfolio,0.8,0.15,0.05,0.1396,105,3,1,4,0.37,71
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE07,cost-driven,3.4,AB,2,A_nominal,0.8,0.15,0.05,0.0568,91,5,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE07,cost-driven,3.4,AB,2,B_portfolio,0.8,0.15,0.05,0.0538,123,4,0,4,0.22,71
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE07,cost-driven,3.4,AB,3,A_nominal,0.8,0.15,0.05,0.0419,88,4,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE07,cost-driven,3.4,AB,3,B_portfolio,0.8,0.15,0.05,0.0616,130,6,0,4,0.4,71
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE07,cost-driven,3.4,AB,4,A_nominal,0.8,0.15,0.05,0.0536,92,4,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE07,cost-driven,3.4,AB,4,B_portfolio,0.8,0.15,0.05,0.0158,139,3,0,3,0.37,71
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE08,balanced,14.4,BA,1,A_nominal,0.4,0.4,0.2,0.1325,86,4,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE08,balanced,14.4,BA,1,B_portfolio,0.4,0.4,0.2,0.0848,120,5,0,3,0.54,77
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE08,balanced,14.4,BA,2,A_nominal,0.4,0.4,0.2,0.1835,78,5,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE08,balanced,14.4,BA,2,B_portfolio,0.4,0.4,0.2,0.0989,128,5,0,4,0.53,77
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE08,balanced,14.4,BA,3,A_nominal,0.4,0.4,0.2,0.1836,113,5,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE08,balanced,14.4,BA,3,B_portfolio,0.4,0.4,0.2,0.1667,106,5,0,2,0.43,77
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE08,balanced,14.4,BA,4,A_nominal,0.4,0.4,0.2,0.2435,90,4,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE08,balanced,14.4,BA,4,B_portfolio,0.4,0.4,0.2,0.1838,135,6,1,4,0.61,77
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE09,service-level,11.5,AB,1,A_nominal,0.2,0.65,0.15,0.4117,69,7,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE09,service-level,11.5,AB,1,B_portfolio,0.2,0.65,0.15,0.2587,92,6,1,2,0.68,61
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE09,service-level,11.5,AB,2,A_nominal,0.2,0.65,0.15,0.4534,90,4,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE09,service-level,11.5,AB,2,B_portfolio,0.2,0.65,0.15,0.2448,124,4,1,4,0.66,61
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE09,service-level,11.5,AB,3,A_nominal,0.2,0.65,0.15,0.38,110,6,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE09,service-level,11.5,AB,3,B_portfolio,0.2,0.65,0.15,0.2201,116,6,0,3,0.86,61
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE09,service-level,11.5,AB,4,A_nominal,0.2,0.65,0.15,0.3953,104,3,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE09,service-level,11.5,AB,4,B_portfolio,0.2,0.65,0.15,0.23,112,4,0,4,0.68,61
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE10,overtime-averse,6.3,BA,1,A_nominal,0.25,0.5,0.25,0.4151,102,5,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE10,overtime-averse,6.3,BA,1,B_portfolio,0.25,0.5,0.25,0.2871,98,6,1,2,0.7,90
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE10,overtime-averse,6.3,BA,2,A_nominal,0.25,0.5,0.25,0.4334,78,5,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE10,overtime-averse,6.3,BA,2,B_portfolio,0.25,0.5,0.25,0.2217,131,6,0,1,0.65,90
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE10,overtime-averse,6.3,BA,3,A_nominal,0.25,0.5,0.25,0.3276,87,5,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE10,overtime-averse,6.3,BA,3,B_portfolio,0.25,0.5,0.25,0.2187,144,4,0,1,0.56,90
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE10,overtime-averse,6.3,BA,4,A_nominal,0.25,0.5,0.25,0.3877,109,6,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE10,overtime-averse,6.3,BA,4,B_portfolio,0.25,0.5,0.25,0.284,135,5,1,4,0.65,90
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE11,stability-driven,10.2,AB,1,A_nominal,0.25,0.25,0.5,0.2828,62,4,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE11,stability-driven,10.2,AB,1,B_portfolio,0.25,0.25,0.5,0.207,117,4,0,1,0.67,74
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE11,stability-driven,10.2,AB,2,A_nominal,0.25,0.25,0.5,0.271,79,4,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE11,stability-driven,10.2,AB,2,B_portfolio,0.25,0.25,0.5,0.2214,119,5,1,1,0.5,74
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE11,stability-driven,10.2,AB,3,A_nominal,0.25,0.25,0.5,0.3066,94,5,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE11,stability-driven,10.2,AB,3,B_portfolio,0.25,0.25,0.5,0.1916,135,6,1,3,0.59,74
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE11,stability-driven,10.2,AB,4,A_nominal,0.25,0.25,0.5,0.3748,102,7,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE11,stability-driven,10.2,AB,4,B_portfolio,0.25,0.25,0.5,0.249,115,4,1,3,0.54,74
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE12,worst-case,5.4,BA,1,A_nominal,0.05,0.85,0.1,0.2105,91,4,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE12,worst-case,5.4,BA,1,B_portfolio,0.05,0.85,0.1,0.1457,112,5,1,3,0.87,67
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE12,worst-case,5.4,BA,2,A_nominal,0.05,0.85,0.1,0.2774,66,7,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE12,worst-case,5.4,BA,2,B_portfolio,0.05,0.85,0.1,0.1526,123,6,1,1,0.88,67
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE12,worst-case,5.4,BA,3,A_nominal,0.05,0.85,0.1,0.3313,87,4,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE12,worst-case,5.4,BA,3,B_portfolio,0.05,0.85,0.1,0.1775,135,4,1,3,0.89,67
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE12,worst-case,5.4,BA,4,A_nominal,0.05,0.85,0.1,0.2923,104,2,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE12,worst-case,5.4,BA,4,B_portfolio,0.05,0.85,0.1,0.1854,146,6,1,3,0.95,67
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE13,cost-driven,8.5,AB,1,A_nominal,0.8,0.15,0.05,0.0136,90,5,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE13,cost-driven,8.5,AB,1,B_portfolio,0.8,0.15,0.05,0.005,102,4,0,3,0.23,95
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE13,cost-driven,8.5,AB,2,A_nominal,0.8,0.15,0.05,0.0056,74,5,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE13,cost-driven,8.5,AB,2,B_portfolio,0.8,0.15,0.05,0.005,105,6,1,4,0.22,95
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE13,cost-driven,8.5,AB,3,A_nominal,0.8,0.15,0.05,0.0206,99,4,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE13,cost-driven,8.5,AB,3,B_portfolio,0.8,0.15,0.05,0.0061,154,5,1,2,0.14,95
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE13,cost-driven,8.5,AB,4,A_nominal,0.8,0.15,0.05,0.0207,100,4,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE13,cost-driven,8.5,AB,4,B_portfolio,0.8,0.15,0.05,0.0606,125,5,0,4,0.43,95
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE14,balanced,5.0,BA,1,A_nominal,0.4,0.4,0.2,0.314,68,3,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE14,balanced,5.0,BA,1,B_portfolio,0.4,0.4,0.2,0.2283,108,5,1,2,0.5,78
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE14,balanced,5.0,BA,2,A_nominal,0.4,0.4,0.2,0.3537,76,3,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE14,balanced,5.0,BA,2,B_portfolio,0.4,0.4,0.2,0.2597,130,6,1,3,0.61,78
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE14,balanced,5.0,BA,3,A_nominal,0.4,0.4,0.2,0.318,111,4,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE14,balanced,5.0,BA,3,B_portfolio,0.4,0.4,0.2,0.2269,106,5,1,2,0.49,78
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE14,balanced,5.0,BA,4,A_nominal,0.4,0.4,0.2,0.3215,115,5,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE14,balanced,5.0,BA,4,B_portfolio,0.4,0.4,0.2,0.2056,153,5,1,1,0.56,78
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE15,service-level,5.9,AB,1,A_nominal,0.2,0.65,0.15,0.2658,83,4,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE15,service-level,5.9,AB,1,B_portfolio,0.2,0.65,0.15,0.1601,112,5,1,4,0.6,76
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE15,service-level,5.9,AB,2,A_nominal,0.2,0.65,0.15,0.2708,76,5,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE15,service-level,5.9,AB,2,B_portfolio,0.2,0.65,0.15,0.1692,144,5,1,4,0.84,76
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE15,service-level,5.9,AB,3,A_nominal,0.2,0.65,0.15,0.2202,112,3,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE15,service-level,5.9,AB,3,B_portfolio,0.2,0.65,0.15,0.1496,123,6,1,2,0.61,76
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE15,service-level,5.9,AB,4,A_nominal,0.2,0.65,0.15,0.2418,99,5,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE15,service-level,5.9,AB,4,B_portfolio,0.2,0.65,0.15,0.1566,138,7,1,2,0.65,76
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE16,overtime-averse,14.8,BA,1,A_nominal,0.25,0.5,0.25,0.3198,84,5,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE16,overtime-averse,14.8,BA,1,B_portfolio,0.25,0.5,0.25,0.2013,107,3,1,1,0.64,59
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE16,overtime-averse,14.8,BA,2,A_nominal,0.25,0.5,0.25,0.2905,85,3,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE16,overtime-averse,14.8,BA,2,B_portfolio,0.25,0.5,0.25,0.1777,114,7,0,4,0.77,59
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE16,overtime-averse,14.8,BA,3,A_nominal,0.25,0.5,0.25,0.2797,78,3,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE16,overtime-averse,14.8,BA,3,B_portfolio,0.25,0.5,0.25,0.1763,119,6,1,2,0.77,59
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE16,overtime-averse,14.8,BA,4,A_nominal,0.25,0.5,0.25,0.3132,101,5,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE16,overtime-averse,14.8,BA,4,B_portfolio,0.25,0.5,0.25,0.1682,135,4,1,4,0.51,59
